,user_id,ts,ab,landing_page,converted
0,4040615247,1356998400.0,treatment,new_page,0
1,4365389205,1356998400.0,treatment,new_page,0
2,4256174578,1356998402.0,treatment,new_page,0
3,8122359922,1356998402.0,control,old_page,0
4,6077269891,1356998402.0,control,old_page,0
5,4275599187,1356998403.0,treatment,new_page,0
6,1659259079,1356998404.0,control,old_page,0
7,1545725891,1356998404.0,control,old_page,0
8,7347566546,1356998405.0,treatment,new_page,0
9,8944268730,1356998405.0,control,old_page,0
10,4495995340,1356998405.0,control,old_page,0
13,6000818242,1356998406.0,control,old_page,0
11,7719218442,1356998406.0,treatment,new_page,1
12,5254377967,1356998406.0,treatment,new_page,0
14,1379061083,1356998408.0,treatment,new_page,0
15,2276531300,1356998409.0,treatment,new_page,0
16,9654049061,1356998409.0,treatment,new_page,1
17,955803446,1356998410.0,control,old_page,0
18,2601467618,1356998410.0,control,old_page,0
19,4493439510,1356998411.0,treatment,new_page,0
24,544890924,1356998412.0,control,old_page,0
25,7408022885,1356998412.0,treatment,new_page,0
23,5858598319,1356998412.0,control,old_page,0
20,2438595744,1356998412.0,treatment,new_page,0
21,3082565267,1356998412.0,treatment,new_page,0
22,243058482,1356998412.0,treatment,new_page,1
26,2383537758,1356998413.0,treatment,new_page,0
27,1541118959,1356998413.0,treatment,new_page,0
28,3954164644,1356998413.0,control,old_page,0
29,7408022885,1356998413.0,treatment,old_page,0
31,6166477271,1356998414.0,control,old_page,0
32,1999103026,1356998414.0,control,old_page,0
30,8178898762,1356998414.0,treatment,new_page,0
33,1803580986,1356998415.0,treatment,new_page,1
34,4805684648,1356998415.0,treatment,new_page,0
35,3136786586,1356998415.0,control,old_page,0
36,8415476312,1356998415.0,control,old_page,0
37,7309489902,1356998416.0,treatment,new_page,0
38,170702632,1356998416.0,control,old_page,0
39,1168938649,1356998416.0,control,old_page,0
43,895657986,1356998417.0,treatment,new_page,0
42,5940524696,1356998417.0,treatment,new_page,0
44,4343221886,1356998417.0,control,old_page,0
40,14569694,1356998417.0,treatment,new_page,0
41,8855422800,1356998417.0,treatment,new_page,0
45,3494975001,1356998418.0,treatment,new_page,1
46,5208297982,1356998418.0,treatment,new_page,0
47,5208297982,1356998419.0,treatment,old_page,0
48,1133632269,1356998421.0,treatment,new_page,0
49,1309728583,1356998421.0,control,old_page,0
50,5143720887,1356998421.0,control,old_page,1
51,9180221253,1356998421.0,control,old_page,0
52,4842531565,1356998421.0,control,old_page,0
53,7611445284,1356998421.0,treatment,new_page,0
56,7611445284,1356998422.0,treatment,old_page,0
55,5215347868,1356998422.0,control,old_page,0
54,4589595173,1356998422.0,treatment,new_page,0
57,3228035474,1356998423.0,control,old_page,0
58,2916121932,1356998423.0,control,old_page,0
59,2105179189,1356998424.0,treatment,new_page,0
60,7026589187,1356998424.0,control,old_page,0
61,753059047,1356998424.0,treatment,new_page,0
62,753059047,1356998425.0,treatment,old_page,1
64,6935580005,1356998426.0,control,old_page,0
63,5105762165,1356998426.0,control,old_page,1
67,6080404995,1356998427.0,control,old_page,0
66,6009504022,1356998427.0,treatment,new_page,0
65,9985326380,1356998427.0,treatment,new_page,0
68,4181237437,1356998428.0,treatment,new_page,0
69,7424068304,1356998428.0,treatment,new_page,0
70,5694911401,1356998428.0,treatment,new_page,0
71,8731237785,1356998428.0,control,old_page,0
72,5229202239,1356998428.0,control,old_page,0
73,3055190463,1356998429.0,treatment,new_page,0
74,3845767616,1356998429.0,control,old_page,0
75,5298511588,1356998429.0,control,old_page,0
78,2490388942,1356998430.0,control,old_page,0
79,5867989205,1356998430.0,control,old_page,0
76,6488611279,1356998430.0,treatment,new_page,0
77,4452485410,1356998430.0,control,old_page,0
80,443083395,1356998431.0,treatment,new_page,1
81,7642946038,1356998431.0,control,old_page,1
82,9324575448,1356998432.0,treatment,new_page,0
83,3828814428,1356998432.0,control,old_page,0
84,9075208,1356998433.0,treatment,new_page,0
87,6153146527,1356998436.0,control,old_page,0
88,3686064573,1356998436.0,control,old_page,1
85,2560285078,1356998436.0,treatment,new_page,0
86,2099839845,1356998436.0,treatment,new_page,0
89,2562679646,1356998437.0,treatment,new_page,0
90,7358674400,1356998439.0,treatment,new_page,0
91,2239978784,1356998440.0,control,old_page,0
92,6987608301,1356998441.0,control,old_page,0
93,7372812426,1356998441.0,treatment,new_page,0
94,7372812426,1356998442.0,treatment,old_page,0
95,4549415638,1356998443.0,treatment,new_page,0
96,6632804195,1356998443.0,treatment,new_page,0
97,4629550176,1356998443.0,treatment,new_page,1
98,7896799084,1356998443.0,control,old_page,0
101,2879848820,1356998444.0,control,old_page,0
100,263606310,1356998444.0,control,old_page,0
99,9895813495,1356998444.0,treatment,new_page,1
102,1288878308,1356998445.0,treatment,new_page,0
103,5412364374,1356998445.0,treatment,new_page,0
104,4530421440,1356998445.0,treatment,new_page,0
105,5080168808,1356998445.0,treatment,new_page,0
106,7741696707,1356998446.0,treatment,new_page,0
107,7782920280,1356998447.0,treatment,new_page,0
108,9131688958,1356998447.0,control,old_page,0
109,8015519101,1356998447.0,treatment,new_page,0
111,9413874659,1356998448.0,treatment,new_page,0
112,8015519101,1356998448.0,treatment,old_page,0
110,9577746713,1356998448.0,treatment,new_page,0
113,5113486198,1356998451.0,control,old_page,0
114,7428437143,1356998451.0,control,old_page,0
115,8739352352,1356998451.0,control,old_page,0
116,5275317456,1356998452.0,treatment,new_page,0
117,2668642525,1356998452.0,control,old_page,0
118,7077682954,1356998452.0,control,old_page,0
119,4101605699,1356998453.0,treatment,new_page,0
120,6808729372,1356998453.0,control,old_page,0
121,84830166,1356998454.0,treatment,new_page,0
122,3869253555,1356998454.0,control,old_page,0
124,9055551051,1356998455.0,control,old_page,0
123,6807758640,1356998455.0,control,old_page,0
125,827743758,1356998458.0,control,old_page,0
126,6929867417,1356998458.0,control,old_page,0
127,6276569979,1356998458.0,control,old_page,0
128,2444578554,1356998459.0,treatment,new_page,0
129,8832266307,1356998459.0,control,old_page,0
130,7865602812,1356998459.0,control,old_page,0
132,4456298545,1356998460.0,treatment,new_page,0
133,5166810909,1356998460.0,control,old_page,0
131,985559032,1356998460.0,treatment,new_page,0
135,5899929379,1356998461.0,control,old_page,0
136,7447904737,1356998461.0,control,old_page,0
134,2570870265,1356998461.0,treatment,new_page,0
137,398163085,1356998462.0,treatment,new_page,0
138,1570286129,1356998462.0,control,old_page,0
139,4324898128,1356998462.0,control,old_page,0
140,2197161063,1356998463.0,treatment,new_page,0
141,432484108,1356998463.0,treatment,new_page,0
142,5482220065,1356998464.0,control,old_page,0
143,6236419878,1356998465.0,treatment,new_page,0
144,955821399,1356998465.0,control,old_page,1
148,2573531365,1356998466.0,control,old_page,0
147,7788951988,1356998466.0,treatment,new_page,1
145,1404401697,1356998466.0,treatment,new_page,0
146,1446602398,1356998466.0,treatment,new_page,0
149,9774820826,1356998467.0,treatment,new_page,0
150,3620863624,1356998467.0,treatment,new_page,1
151,5351838802,1356998467.0,control,old_page,0
152,1885194315,1356998467.0,control,old_page,0
153,6622760573,1356998468.0,treatment,new_page,0
154,193732649,1356998468.0,treatment,new_page,0
155,6384390146,1356998469.0,control,old_page,0
156,6593437225,1356998469.0,control,old_page,0
159,8584866773,1356998470.0,control,old_page,0
